Date,006120.KS,011810.KS,068400.KS,005180.KS,060590.KQ,114840.KQ,357580.KQ,267320.KQ,340360.KQ,025560.KS,367360.KQ
2023-08-17,38400.0,27104.755859375,12430.0,55400.0,11010.0,26550.0,14480.0,3705.0,1445.0,6230.0,
2023-08-18,40400.0,32252.052734375,12770.0,55600.0,14310.0,28700.0,18820.0,4815.0,1700.0,8090.0,2805.0
2023-08-21,39500.0,41895.08984375,13370.0,58100.0,14740.0,28250.0,24450.0,6250.0,1660.0,10130.0,2865.0
2023-08-22,39950.0,42416.3359375,13390.0,57500.0,14400.0,28400.0,17150.0,4890.0,1590.0,8700.0,2870.0
2023-08-23,40250.0,39028.2421875,13420.0,58100.0,14000.0,28850.0,15680.0,5130.0,1543.0,7500.0,3060.0
2023-08-24,40400.0,35118.90234375,13420.0,56900.0,13330.0,28950.0,15150.0,5260.0,1500.0,7980.0,3140.0
2023-08-25,39800.0,35118.90234375,13430.0,57000.0,13050.0,29350.0,14630.0,5050.0,1497.0,7510.0,2930.0
2023-08-28,40200.0,45608.96484375,13440.0,57000.0,13170.0,28650.0,15230.0,5500.0,1460.0,7050.0,3075.0
2023-08-29,40400.0,36250.0,13420.0,55300.0,13230.0,28400.0,15350.0,5100.0,1520.0,6980.0,3035.0
2023-08-30,40700.0,,13430.0,54400.0,13090.0,27700.0,15400.0,4980.0,1516.0,6720.0,3015.0
