Ticker,Name,MarketCap,Market
004370,농심,28588억,코스피
298040,효성중공업,17344억,코스피
065350,신성델타테크,16463억,코스닥
192820,코스맥스,15889억,코스피
003230,삼양식품,13665억,코스피
161890,한국콜마,13088억,코스피
213420,덕산네오룩스,11236억,코스닥
091120,이엠텍,8704억,코스닥
006120,SK디스커버리,7691억,코스피
011810,STX,7630억,코스피
025980,아난티,7045억,코스닥
352480,씨앤씨인터내셔널,7020억,코스닥
228760,지노믹트리,6269억,코스닥
068400,SK렌터카,6038억,코스피
005180,빙그레,5477억,코스피
243070,휴온스,5198억,코스닥
206640,바디텍메드,4263억,코스닥
060590,씨티씨바이오,3460억,코스닥
056080,유진로봇,3215억,코스닥
084110,휴온스글로벌,3124억,코스닥
204620,글로벌텍스프리,3112억,코스닥
096760,JW홀딩스,3103억,코스피
026890,스틱인베스트먼트,2847억,코스피
051360,토비스,2704억,코스닥
114840,아이패밀리에스씨,2468억,코스닥
357580,아모센스,2108억,코스닥
267320,나인테크,1942억,코스닥
007210,벽산,1831억,코스피
173130,오파스넷,1735억,코스닥
214420,토니모리,1491억,코스피
069460,대호에이엘,1427억,코스피
309930,오하임아이엔티,1242억,코스닥
099440,스맥,1077억,코스닥
044820,코스맥스비티아이,978억,코스피
223250,드림씨아이에스,830억,코스닥
340360,다보링크,727억,코스닥
025560,미래산업,412억,코스피
367480,유안타제8호스팩,256억,코스닥
367360,DB금융스팩9호,136억,코스닥
