Date,004370.KS,298040.KS,065350.KS,192820.KS,003230.KS,161890.KS,213420.KQ,091120.KQ,006120.KS,011810.KS,025980.KQ,352480.KQ,228760.KS,068400.KS,005180.KS,243070.KQ,206640.KQ,060590.KQ,056080.KS,084110.KQ,204620.KQ,096760.KS,026890.KS,051360.KQ,114840.KQ,357580.KQ,267320.KQ,007210.KS,173130.KQ,214420.KS,069460.KS,309930.KQ,099440.KQ,044820.KS,223250.KQ,340360.KQ,025560.KS,367480.KQ,367360.KQ
2023-08-17,,,59900.0,,,,,,,,,,26050.0,,,,,,8740.0,,,,,,,,,,,,,,,,,,,3940.0,
2023-08-18,470000.0,186000.0,59900.0,140000.0,181400.0,57200.0,45250.0,50800.0,40400.0,32252.052734375,8040.0,70100.0,26950.0,12770.0,55600.0,43550.0,18150.0,14310.0,8570.0,24750.0,5670.0,4280.0,6830.0,16620.0,28700.0,18820.0,4815.0,2670.0,14630.0,6200.0,2300.0,5840.0,2750.0,10180.0,14000.0,1700.0,8090.0,,2805.0
2023-08-21,465000.0,190900.0,42000.0,140000.0,178300.0,56600.0,44550.0,54500.0,39500.0,41895.08984375,8160.0,66900.0,25050.0,13370.0,58100.0,43650.0,17770.0,14740.0,8840.0,24900.0,5380.0,4210.0,7290.0,16370.0,28250.0,24450.0,6250.0,2520.0,17090.0,5950.0,2205.0,6010.0,2770.0,10050.0,13530.0,1660.0,10130.0,,2865.0
2023-08-22,464000.0,203000.0,54600.0,139000.0,181000.0,55500.0,43800.0,54900.0,39950.0,42416.3359375,8070.0,66300.0,26800.0,13390.0,57500.0,44050.0,17910.0,14400.0,8900.0,25200.0,5560.0,4210.0,7290.0,16590.0,28400.0,17150.0,4890.0,2535.0,16650.0,5940.0,2270.0,6130.0,2815.0,10080.0,14100.0,1590.0,8700.0,,2870.0
2023-08-23,460000.0,189800.0,48550.0,139800.0,186400.0,56100.0,44600.0,57700.0,40250.0,39028.2421875,8130.0,67900.0,24900.0,13420.0,58100.0,47200.0,17840.0,14000.0,8490.0,26900.0,5510.0,4165.0,7160.0,17050.0,28850.0,15680.0,5130.0,2550.0,18500.0,5800.0,2300.0,5850.0,2790.0,10020.0,13980.0,1543.0,7500.0,,3060.0
2023-08-24,460000.0,190300.0,53400.0,140000.0,182500.0,55900.0,43650.0,57200.0,40400.0,35118.90234375,8070.0,67000.0,24850.0,13420.0,56900.0,46500.0,18050.0,13330.0,8680.0,25300.0,5700.0,4270.0,7450.0,18170.0,28950.0,15150.0,5260.0,3100.0,18550.0,5820.0,2270.0,5700.0,2900.0,10130.0,13940.0,1500.0,7980.0,,3140.0
2023-08-25,464000.0,193500.0,51100.0,144500.0,189000.0,57300.0,43250.0,57100.0,39800.0,35118.90234375,7960.0,73000.0,23950.0,13430.0,57000.0,47250.0,18320.0,13050.0,8870.0,24800.0,5750.0,4230.0,7630.0,17450.0,29350.0,14630.0,5050.0,3300.0,16810.0,6040.0,2300.0,5550.0,2720.0,10410.0,13790.0,1497.0,7510.0,,2930.0
2023-08-28,460500.0,190100.0,51800.0,147500.0,187800.0,57300.0,43900.0,54500.0,40200.0,45608.96484375,8010.0,71400.0,24600.0,13440.0,57000.0,46850.0,18590.0,13170.0,9150.0,24450.0,5860.0,4180.0,7740.0,18950.0,28650.0,15230.0,5500.0,3300.0,18470.0,6400.0,2380.0,5570.0,2770.0,10750.0,13720.0,1460.0,7050.0,,3075.0
2023-08-29,,192600.0,,,,57300.0,43200.0,56100.0,40400.0,,8160.0,71400.0,24400.0,13420.0,55300.0,46850.0,18860.0,13230.0,,24550.0,5920.0,,7840.0,19500.0,28400.0,15350.0,5100.0,3495.0,17990.0,6210.0,2270.0,5550.0,3230.0,,13970.0,1520.0,6980.0,,3035.0
2023-08-30,454500.0,191200.0,53000.0,149000.0,189900.0,57200.0,42150.0,56200.0,41100.0,47237.85546875,8170.0,70200.0,26300.0,13420.0,54600.0,47450.0,19340.0,13170.0,10640.0,24900.0,6390.0,4240.0,7760.0,19470.0,27700.0,15470.0,4925.0,3570.0,17790.0,6170.0,2330.0,5650.0,3115.0,11300.0,15100.0,1567.0,6720.0,,3060.0
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,5010.0,,17620.0,6170.0,2305.0,5560.0,3180.0,11450.0,15020.0,1625.0,,,3015.0
