Date,030200.KS,042700.KS,145020.KQ,000240.KS,280360.KS,006120.KS,011810.KS,082640.KS,068400.KS,000815.KS,136510.KQ,005180.KS,015540.KS,001340.KS,048530.KQ,060590.KQ,093230.KS,078590.KQ,121800.KQ,015890.KS,114840.KQ,096040.KQ,268600.KQ,950170.KQ,012320.KS,318020.KQ,054620.KQ,150840.KQ,079980.KS,012860.KQ,357580.KQ,057880.KQ,033340.KQ,194700.KQ,267320.KQ,391710.KQ,138690.KQ,024810.KQ,041590.KQ,134380.KS,109070.KS,065560.KQ,347000.KQ,293580.KQ,215090.KQ,178780.KQ,047820.KQ,269620.KQ,160600.KQ,318000.KQ,078130.KQ,006140.KQ,066410.KQ,277410.KQ,101140.KS,069510.KQ,056090.KQ,257370.KQ,014200.KQ,101330.KQ,226440.KQ,006580.KQ,033180.KS,015260.KS,037030.KQ,012600.KS,096690.KQ,007720.KQ,340360.KQ,102280.KS,044060.KQ,019490.KS,032860.KQ,069110.KQ,263540.KQ,052460.KQ,003560.KS,062860.KQ,290380.KQ,091090.KS,181340.KQ,007610.KS,053590.KQ,344860.KQ,099520.KQ,187790.KQ,214870.KQ,141020.KQ,089530.KQ,435620.KQ,025560.KS,226360.KQ,005030.KS,044780.KQ,117670.KQ,038340.KQ,058530.KQ,111870.KQ,068940.KQ,148140.KQ,219750.KQ,299910.KQ,208860.KQ,114120.KQ,214310.KQ,030790.KS,393360.KQ,436610.KQ,442310.KQ,008500.KS,106520.KQ,217480.KQ,367360.KQ,404950.KQ,377400.KQ,448370.KQ,426550.KQ,174880.KQ,427950.KQ,436530.KQ,437780.KQ,058220.KQ,372290.KQ,121890.KQ,450410.KQ,373340.KQ
2023-07-18 00:00:00,29300.0,49550.0,108200.0,11710.0,97800.0,35200.0,13290.0,3550.0,10260.0,172000.0,,42850.0,,7790.0,6130.0,9500.0,1392.0,,,7420.0,25400.0,,,3785.0,89800.0,,8960.0,,4250.0,2770.0,15520.0,,,8230.0,3770.0,3490.0,,,1076.0,64000.0,2337.531982421875,,3310.0,1126.0,,,,,,10870.0,,6270.0,,2240.0,467.0,,,,,3635.0,,,442.0,1628.0,3520.0,2490.0,396.0,,882.0,269.0,,2470.0,,,,3910.0,239.0,,,1270.0,,2975.0,,3310.0,,1324.0,,,,,5108.33349609375,,486.0,1852.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-19 00:00:00,29400.0,43500.0,108300.0,11720.0,97200.0,35300.0,14440.0,3545.0,10330.0,172300.0,,43350.0,6410.0,7790.0,6230.0,9460.0,1392.0,,,7270.0,24200.0,,,3705.0,88900.0,,8730.0,,4220.0,2750.0,15650.0,,,8110.0,3710.0,3460.0,,,1051.0,63800.0,2337.531982421875,,3110.0,1103.0,,,,,,10480.0,,6190.0,,2200.0,467.0,7730.0,,,,3580.0,,,442.0,1593.0,3520.0,2490.0,398.0,686.0,887.0,269.0,,2470.0,,,,3925.0,239.0,,,1270.0,,2975.0,,3180.0,,1351.0,,,,,4783.33349609375,,486.0,1855.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-20 00:00:00,29400.0,45950.0,111300.0,11700.0,97700.0,37050.0,13370.0,3610.0,10500.0,171300.0,,43800.0,6410.0,7790.0,6220.0,9300.0,1392.0,,,7230.0,24000.0,,,3700.0,91100.0,,8740.0,,4190.0,2680.0,15370.0,,,8120.0,3860.0,3485.0,,,1040.0,64000.0,2337.531982421875,,3055.0,1063.0,,,,,,10840.0,,6290.0,,2225.0,467.0,7660.0,,,,3600.0,,,442.0,1619.0,3530.0,2490.0,396.0,686.0,886.0,269.0,,2470.0,,,,3935.0,239.0,,,1270.0,,2975.0,,3180.0,,1365.0,,,,,5058.33349609375,,486.0,1845.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-21 00:00:00,30000.0,45000.0,108900.0,11720.0,98600.0,37650.0,13830.0,3610.0,10400.0,172000.0,,44750.0,6410.0,7790.0,6450.0,9410.0,1392.0,,,7200.0,23750.0,,,3670.0,89600.0,,8790.0,,4190.0,2590.0,15000.0,,,8170.0,3780.0,3555.0,,,1050.0,64000.0,2337.531982421875,,3120.0,1115.0,,,,,,10460.0,,6190.0,,2195.0,467.0,7840.0,,,,3570.0,,,442.0,1591.0,3460.0,2490.0,391.0,691.0,865.0,269.0,,2470.0,,,,3865.0,239.0,,,1270.0,,2975.0,,3120.0,,1323.0,,,,,5016.66650390625,,486.0,1846.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-24 00:00:00,29900.0,47200.0,105400.0,11550.0,97700.0,36600.0,14890.0,3510.0,10360.0,171600.0,,44450.0,6410.0,7790.0,6140.0,9350.0,1392.0,,,7060.0,22500.0,,,3565.0,87400.0,,8660.0,,4000.0,2515.0,14890.0,,,7860.0,3840.0,3450.0,,,1009.0,63800.0,2337.531982421875,,3015.0,1084.0,,,,,,10240.0,,5930.0,,2150.0,467.0,7580.0,,,,3455.0,,,442.0,1560.0,3395.0,2490.0,377.0,674.0,836.0,269.0,,2470.0,,,,3690.0,239.0,,,1270.0,,2975.0,,3065.0,,1320.0,,,,,4041.666748046875,,486.0,1799.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-25 00:00:00,29500.0,46300.0,109000.0,11370.0,95000.0,36150.0,13960.0,3515.0,10450.0,172500.0,,43500.0,,7790.0,5820.0,9310.0,1392.0,,,7000.0,21800.0,,,,85300.0,,8300.0,,3860.0,2475.0,15350.0,,,7850.0,3605.0,3360.0,,,1021.0,64200.0,2337.531982421875,,3285.0,1069.0,,,,,,9920.0,,5770.0,,2060.0,467.0,,,,,3365.0,,,442.0,1525.0,3180.0,2490.0,370.0,663.0,838.0,269.0,,2470.0,,,,3565.0,239.0,,,1270.0,,2975.0,,2990.0,,1252.0,,,,,4550.0,,486.0,1779.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-26 00:00:00,29200.0,43800.0,105800.0,10780.0,93000.0,35200.0,13090.0,3405.0,10300.0,171800.0,,42450.0,6410.0,7790.0,5370.0,8980.0,1392.0,,,6750.0,20600.0,,,3475.0,78100.0,,8000.0,,3690.0,2360.0,14470.0,,,7780.0,3545.0,3050.0,,,988.0,66000.0,2337.531982421875,,2940.0,1041.0,,,,,,9440.0,,5380.0,,1969.0,467.0,7300.0,,,,3185.0,,,442.0,1509.0,2920.0,2490.0,349.0,637.0,820.0,269.0,,2470.0,,,,3305.0,239.0,,,1270.0,,2975.0,,2790.0,,1205.0,,,,,4366.66650390625,,486.0,1715.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-27 00:00:00,29900.0,45900.0,102800.0,11150.0,95000.0,35350.0,12400.0,3500.0,10400.0,173800.0,,43950.0,,7790.0,5660.0,9080.0,1392.0,,,6650.0,21400.0,,,3690.0,80500.0,,8090.0,,3925.0,2400.0,14300.0,,,7990.0,3510.0,3100.0,,,1008.0,68000.0,2337.531982421875,,2935.0,1029.0,,,,,,8900.0,,5750.0,,1995.0,467.0,,,,,3305.0,,,442.0,1560.0,3050.0,2490.0,378.0,,834.0,269.0,,2470.0,,,,3405.0,239.0,,,1270.0,,2975.0,,2905.0,,1217.0,,,,,4700.0,,486.0,,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-28 00:00:00,29700.0,47150.0,102500.0,11160.0,95000.0,35000.0,12170.0,3535.0,10500.0,173300.0,,45650.0,6410.0,7790.0,5610.0,9140.0,1392.0,,,6990.0,21150.0,,,3775.0,82600.0,,8450.0,,4000.0,2505.0,14520.0,,,8160.0,3705.0,3120.0,,,1019.0,67200.0,2337.531982421875,,2995.0,1059.0,,,,,,9660.0,,5850.0,,2090.0,467.0,7630.0,,,,3410.0,,,442.0,1603.0,3175.0,2490.0,383.0,639.0,842.0,269.0,,2470.0,,,,3550.0,239.0,,,1270.0,,2975.0,,2870.0,,1287.0,,,,,4816.66650390625,,486.0,1783.0,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
2023-07-31 00:00:00,29500.0,48500.0,107900.0,11480.0,95000.0,35850.0,13400.0,3530.0,10670.0,173100.0,,45950.0,,7790.0,5830.0,9240.0,1392.0,,,7150.0,20550.0,,,3710.0,83300.0,,8530.0,,4010.0,2500.0,15030.0,,,8120.0,3760.0,3200.0,,,1015.0,67300.0,2337.531982421875,,3010.0,1072.0,,,,,,9670.0,,5890.0,,2095.0,467.0,,,,,,,,442.0,1597.0,3245.0,2490.0,384.0,649.0,833.0,269.0,,2470.0,,,,3650.0,239.0,,,1270.0,,2975.0,,2910.0,,1292.0,,,,,5000.0,,486.0,,,,,,,,,,,,,904.0,,,,12900.0,,,,,,,,,,,,,,,,
