Ticker,Name,MarketCap,Market
051910,LG화학,401670억,코스피
032830,삼성생명,132000억,코스피
015760,한국전력,115168억,코스피
034730,SK,101599억,코스피
042660,한화오션,82954억,코스피
361610,SK아이이테크놀로지,63597억,코스피
011170,롯데케미칼,55608억,코스피
036570,엔씨소프트,54885억,코스피
035900,JYP Ent.,39935억,코스닥
011790,SKC,34347억,코스피
068760,셀트리온제약,29034억,코스닥
052690,한전기술,25111억,코스피
293490,카카오게임즈,22893억,코스닥
139480,이마트,19820억,코스피
000880,한화,18852억,코스피
088350,한화생명,18804억,코스피
145720,덴티움,13294억,코스피
035760,CJ ENM,12807억,코스닥
225570,넥슨게임즈,10944억,코스닥
281740,레이크머티리얼즈,10865억,코스닥
064550,바이오니아,10118억,코스닥
014820,동원시스템즈,9814억,코스피
000670,영풍,9652억,코스피
381970,케이카,5660억,코스피
014620,성광벤드,4136억,코스닥
216080,제테마,3637억,코스닥
036620,감성코퍼레이션,3458억,코스닥
089970,에이피티씨,3266억,코스닥
053030,바이넥스,2893억,코스닥
182360,큐브엔터,2697억,코스닥
010600,웰바이오텍,2650억,코스피
460850,동국씨엠,2341억,코스피
092070,디엔에프,2298억,코스닥
081000,일진다이아,2155억,코스피
003070,코오롱글로벌,2102억,코스피
038290,마크로젠,2071억,코스닥
048550,SM C&C,2035억,코스닥
073640,테라사이언스,1666억,코스닥
160550,NEW,1635억,코스닥
282720,금양그린파워,1499억,코스닥
066980,이엔코퍼레이션,1429억,코스닥
086670,비엠티,1288억,코스닥
120030,조선선재,1282억,코스피
363260,모비데이즈,1275억,코스닥
411080,샌즈랩,1254억,코스닥
064820,케이프,1190억,코스닥
251120,바이오에프디엔씨,1130억,코스닥
389140,포바이포,1090억,코스닥
236810,엔비티,1086억,코스닥
002600,조흥,1059억,코스피
306040,에스제이그룹,1006억,코스닥
186230,그린플러스,949억,코스닥
109860,동일금속,945억,코스닥
274400,이노시뮬레이션,940억,코스닥
356680,엑스게이트,890억,코스닥
307180,아이엘사이언스,890억,코스닥
214270,FSN,860억,코스닥
115440,우리넷,851억,코스닥
084180,수성샐바시온,806억,코스닥
088290,이원컴포텍,772억,코스닥
032790,엠젠솔루션,754억,코스닥
357430,마스턴프리미어리츠,744억,코스피
210120,빅텐츠,733억,코스닥
217730,강스템바이오텍,730억,코스닥
060900,DGP,729억,코스닥
258830,세종메디칼,670억,코스닥
199730,바이오인프라,657억,코스닥
039020,이건홀딩스,630억,코스닥
298060,에스씨엠생명과학,583억,코스닥
056730,CNT85,574억,코스닥
123010,아이윈플러스,563억,코스닥
133820,화인베스틸,527억,코스피
419540,비스토스,506억,코스닥
012340,뉴인텍,482억,코스닥
054180,메디콕스,403억,코스닥
049470,SGA,371억,코스닥
058450,엔터파트너즈,364억,코스닥
010420,한솔PNS,283억,코스피
290660,네오펙트,268억,코스닥
033790,스카이문스테크놀로지,240억,코스닥
161570,THE MIDONG,182억,코스닥
000885,한화우,141억,코스피
003075,코오롱글로벌우,115억,코스피
456490,교보14호스팩,87억,코스닥
001515,SK증권우,82억,코스피
002785,진흥기업우B,36억,코스피
